使用区队	申请日期	出库明细									
使用区队	申请日期	物料类型	物料编码	物料名称	规格型号	单位	出库数量	单价	金额	单位	工程名称
综机机加工车间	2025-10-02	材料	211503130000039	螺母	M6	件	20.00	0.05	1.00	开掘	﹢810m主井底向副井绕巷
综机机加工车间	2025-10-02	材料	731503000000013	玻璃胶	通用配件	支	10.00	6.10	61.00	开掘	﹢810m主井底向副井绕巷
综机机加工车间	2025-10-02	材料	213119050000001	玻璃胶枪	15寸	把	2.00	13.90	27.80	开掘	﹢810m主井底向副井绕巷
综机机加工车间	2025-10-02	材料	210545990000063	电源转换器（多用插座）	10A24孔	只	5.00	21.10	105.50	开掘	﹢810m主井底向副井绕巷
综机机加工车间	2025-10-02	材料	210103050000015	绝缘电线	BVR-450/750 6mm2	米	200.00	4.45	890.00	开掘	﹢810m主井底向副井绕巷
综机机加工车间	2025-10-02	材料	213115030000021	十字塑柄螺丝刀	6*150（磁力型）（45#钢）	把	5.00	4.51	22.55	开掘	﹢810m主井底向副井绕巷
综机机加工车间	2025-10-02	材料	211515090000004	镀锌平垫	16mm	件	8.00	0.11	0.88	开掘	﹢810m主井底向副井绕巷
综机机加工车间	2025-10-02	材料	211515030000003	弹簧垫	16mm	件	4.00	0.15	0.60	开掘	﹢810m主井底向副井绕巷
综机机加工车间	2025-10-02	材料	390703050000018	电焊钳	500A	把	6.00	22.01	132.06	开掘	﹢810m主井底向副井绕巷
综机机加工车间	2025-10-02	材料	211501010000212	六角螺栓	16×50	件	4.00	0.64	2.56	开掘	﹢810m主井底向副井绕巷
综机机加工车间	2025-10-02	材料	390199050000001	锹把	1200mm Φ30mm（槐木）±50mm	根	2.00	6.00	12.00	开掘	﹢810m主井底向副井绕巷
综机机加工车间	2025-10-02	材料	510199170000140	球形截止阀	QJ19	件	5.00	61.95	309.75	开掘	﹢810m主井底向副井绕巷
综机机加工车间	2025-10-02	材料	510199170000137	球形截止阀	QJ10	件	5.00	38.00	190.00	开掘	﹢810m主井底向副井绕巷
综机机加工车间	2025-10-02	材料	250101030000013	加厚防尘服	大中小号	套	25.00	144.90	3622.50	开掘	﹢810m主井底向副井绕巷
综机机加工车间	2025-10-02	材料	210509010000036	交流接触器	(CJT1)CJ10-40A/380V.	台	1.00	38.00	38.00	开掘	﹢810m主井底向副井绕巷
综机机加工车间	2025-10-02	材料	212501010000001	电焊机	BX1-400A 220-380V	台	1.00	761.60	761.60	开掘	﹢810m主井底向副井绕巷
综机机加工车间	2025-10-02	材料	230119110000007	尼龙扎带	8×500	根	800.00	0.10	80.00	开掘	﹢810m主井底向副井绕巷
综机机加工车间	2025-10-02	材料	559905050000017	切割机主体	SS118	件	3.00	10822.62	32467.86	开掘	﹢810m主井底向副井绕巷
掘进二队	2025-10-01	材料	210911350000006	兆欧表（摇表）	/	台	1.00	218.50	218.50	开掘	﹢810m主井底向副井绕巷
掘进二队	2025-10-01	材料	230119110000006	尼龙扎带	5×500	根	2000.00	0.07	140.00	开掘	﹢810m主井底向副井绕巷
掘进二队	2025-10-01	材料	210111010000230	橡套电缆	MY-0.38/0.66KV 3×16+1×10 .	米	400.00	67.41	26964.00	开掘	﹢810m主井底向副井绕巷
掘进二队	2025-10-01	材料	390107050000002	钢锯架	300mm（镀铬）	把	1.00	7.31	7.31	开掘	﹢810m主井底向副井绕巷
掘进二队	2025-10-01	材料	212905050000006	风镐钎	28×450mm	根	12.00	16.25	195.00	开掘	﹢810m主井底向副井绕巷
掘进二队	2025-10-01	材料	990143010007135	直通	Φ19	个	4.00	6.29	25.16	开掘	﹢810m主井底向副井绕巷
掘进二队	2025-10-01	材料	510199170000140	球形截止阀	QJ19	件	4.00	61.95	247.80	开掘	﹢810m主井底向副井绕巷
掘进二队	2025-10-01	材料	392301010000080	皮尺	50m	把	1.00	58.49	58.49	开掘	﹢810m主井底向副井绕巷
掘进二队	2025-10-01	材料	210111010000465	煤矿用移动轻型橡套软电缆	MYQ4×2.5.	米	100.00	8.49	849.00	开掘	﹢810m主井底向副井绕巷
掘进二队	2025-10-01	材料	390103030000004	大锤	24磅	把	1.00	379.02	379.02	开掘	﹢810m主井底向副井绕巷
掘进一队	2025-10-01	材料	278701010000003	塑料涂覆布正压风筒	FTZSS600*10	米	200.00	16.94	3388.00	开掘	﹢810m主井底向副井绕巷
掘进一队	2025-10-01	材料	盈树	普通螺母	16mm	件	120.00	0.17	20.40	开掘	﹢810m主井底向副井绕巷
掘进一队	2025-10-01	材料	972717050000003	大扫帚	竹把	把	5.00	14.59	72.95	开掘	﹢810m主井底向副井绕巷
掘进一队	2025-10-01	材料	211501010000196	六角螺栓	16×150	件	120.00	1.52	182.40	开掘	﹢810m主井底向副井绕巷
掘进一队	2025-10-01	材料	110503010000004	镀锌钢绞线	1×7-6.6-1670 YB/T5004-2012	公斤	1000.00	6.68	6680.00	开掘	﹢810m主井底向副井绕巷
掘进一队	2025-10-01	材料	250501010000013	防尘口罩	3M 9002	个	14.00	20.90	292.60	开掘	﹢810m主井底向副井绕巷
掘进一队	2025-10-01	材料	210323110000004	矿灯	KL5LM（Z）锂电	台	7.00	159.00	1113.00	开掘	﹢810m主井底向副井绕巷
掘进一队	2025-10-01	材料	980121000001064	矿灯带	.	条	7.00	5.00	35.00	开掘	﹢810m主井底向副井绕巷
掘进一队	2025-10-01	材料	250701070000003	乳胶手套	乳胶	双	128.00	4.92	629.76	开掘	﹢810m主井底向副井绕巷
掘进一队	2025-10-01	材料	990143030017911	布袜子	-7912	双	114.00	8.00	912.00	开掘	﹢810m主井底向副井绕巷
掘进一队	2025-10-01	材料	250101030000013	加厚防尘服	大中小号	套	7.00	144.90	1014.30	开掘	﹢810m主井底向副井绕巷
综机机加工车间	2025-10-01	材料	980121000001064	矿灯带	.	条	2.00	5.00	10.00	开掘	﹢810m主井底向副井绕巷
综机机加工车间	2025-10-01	材料	990143010005693	砂轮切割机	4000W-380V（铜线圈）	台	5.00	6250.00	31250.00	开掘	﹢810m主井底向副井绕巷
综机机加工车间	2025-10-01	材料	540205010010069	磁力起重磁铁	600kg	件	4.00	3741.49	14965.96	开掘	﹢810m主井底向副井绕巷
综机机加工车间	2025-10-01	材料	213101190000052	平头电镀标长内六角扳手	8mm（铬钒钢）	把	2.00	3.22	6.44	开掘	﹢810m主井底向副井绕巷
综机机加工车间	2025-10-01	材料	210111010000465	煤矿用移动轻型橡套软电缆	MYQ4×2.5.	米	145.00	8.49	1231.05	开掘	﹢810m主井底向副井绕巷
综机机加工车间	2025-10-01	材料	213121010000030	电锤钻头	6-25mm（10件）(高碳钢)	套	2.00	105.50	211.00	开掘	﹢810m主井底向副井绕巷
综机机加工车间	2025-10-01	材料	971147000000001	棕绳	Ф10mm-60mm	公斤	10.00	13.97	139.70	开掘	﹢810m主井底向副井绕巷
综机机加工车间	2025-10-01	材料	210911230000004	氧气减压器	YQY-07 2.5×25mpa	块	1.00	59.48	59.48	开掘	﹢810m主井底向副井绕巷
综机机加工车间	2025-10-01	材料	230109150000001	橡胶软管（氧气管）	中型2MPa-10	米	100.00	4.00	400.00	开掘	﹢810m主井底向副井绕巷
综机机加工车间	2025-10-01	材料	230109170000003	乙炔管	Φ8	盘	1.00	245.85	245.85	开掘	﹢810m主井底向副井绕巷
											
掘进二队	2025-09-23	材料	盈树	片网	φ4.0	平方米	1512.00	17.15	25930.80	开掘	﹢810m水平回风大巷
掘进二队	2025-09-23	材料	990143010005521	绒衣裤	/	条	71.00	58.00	4118.00	开掘	﹢810m水平回风大巷
掘进二队	2025-09-23	材料	250501010000013	防尘口罩	3M 9002	个	6.00	20.90	125.40	开掘	﹢810m水平回风大巷
掘进二队	2025-09-23	材料	990143030017911	布袜子	-7912	双	9.00	8.00	72.00	开掘	﹢810m水平回风大巷
掘进二队	2025-09-23	材料	250701070000003	乳胶手套	乳胶	双	9.00	4.92	44.28	开掘	﹢810m水平回风大巷
掘进二队	2025-09-23	材料	980121000001064	矿灯带	.	条	3.00	5.00	15.00	开掘	﹢810m水平回风大巷
掘进二队	2025-09-23	材料	210323110000004	矿灯	KL5LM（Z）锂电	台	4.00	159.00	636.00	开掘	﹢810m水平回风大巷
掘进二队	2025-09-23	材料	250903050000006	反光药物高筒工矿靴	26.5#	双	3.00	55.96	167.88	开掘	﹢810m水平回风大巷
掘进二队	2025-09-23	材料	250101030000013	加厚防尘服	大中小号	套	3.00	144.90	434.70	开掘	﹢810m水平回风大巷
掘进二队	2025-09-23	材料	210117030000021	矿用电缆挂钩	GL-PVC 68	个	260.00	1.74	452.40	开掘	﹢810m水平回风大巷
掘进一队	2025-09-22	材料	盈树	片网	φ4.0	平方米	1404.00	17.15	24078.60	开掘	﹢810m水平回风大巷
掘进一队	2025-09-22	材料	990143010005521	绒衣裤	/	条	25.00	58.00	1450.00	开掘	﹢810m水平回风大巷
掘进一队	2025-09-22	材料	278701010000003	塑料涂覆布正压风筒	FTZSS600*10	米	100.00	16.94	1694.00	开掘	﹢810m水平回风大巷
掘进一队	2025-09-22	材料	290101350000160	尾轮	P30 P60	件	2.00	281.28	562.56	开掘	﹢810m水平回风大巷
掘进一队	2025-09-22	材料	P12115030000609	梅花垫	Φ250×150聚	件	5.00	71.00	355.00	开掘	﹢810m水平回风大巷
掘进一队	2025-09-22	材料	110507010000004	镀锌铁丝	1.6mm	公斤	110.00	6.14	675.40	开掘	﹢810m水平回风大巷
掘进一队	2025-09-22	材料	390101150000159	开口扳手	6-24mm	套	1.00	666.60	666.60	开掘	﹢810m水平回风大巷
掘进一队	2025-09-22	材料	390101110000017	12.5mm系列套筒扳手	26件套	套	1.00	187.81	187.81	开掘	﹢810m水平回风大巷
掘进一队	2025-09-21	材料	110507010000006	镀锌铁丝	2.8mm	公斤	30.00	5.43	162.90	开掘	﹢810m水平回风大巷
掘进一队	2025-09-21	材料	213119010000004	黄油枪	400ml（优质合金钢）	把	2.00	47.35	94.70	开掘	﹢810m水平回风大巷
掘进一队	2025-09-21	材料	230309110000004	润滑脂	3#锂基脂	吨	0.02	26761.06	535.22	开掘	﹢810m水平回风大巷
掘进一队	2025-09-21	材料	212905050000001	凿岩用锥体连接中空六角形钎杆	H22（55SiMnMo)	公斤	15.00	7.48	112.20	开掘	﹢810m水平回风大巷
掘进一队	2025-09-21	材料	392301010000015	钢卷尺	5m（45#钢）	把	2.00	8.00	16.00	开掘	﹢810m水平回风大巷
掘进一队	2025-09-21	材料	213101030000106	三用套管扳手	14-17-19（45#钢）	把	3.00	6.42	19.26	开掘	﹢810m水平回风大巷
掘进一队	2025-09-21	材料	213101030000105	三用套管扳手	12-14-17（45#钢）	把	3.00	5.65	16.95	开掘	﹢810m水平回风大巷
掘进一队	2025-09-20	材料	211909030000002	止回阀	H42H-16C-DN100	只	1.00	322.82	322.82	开掘	﹢810m水平回风大巷
掘进一队	2025-09-20	材料	230119130000001	尼龙扎丝	250mm	根	1600.00	0.02	32.00	开掘	﹢810m水平回风大巷
掘进一队	2025-09-20	材料	230119110000007	尼龙扎带	8×500	根	1500.00	0.10	150.00	开掘	﹢810m水平回风大巷
掘进一队	2025-09-20	材料	210553010000005	煤矿用隔爆型低压电缆接线盒	BHD2-400/1140(660)-4G	台	1.00	433.28	433.28	开掘	﹢810m水平回风大巷
掘进一队	2025-09-20	材料	212503010000002	普通焊条	J4223.2mm	公斤	100.00	5.84	584.00	开掘	﹢810m水平回风大巷
掘进一队	2025-09-20	材料	215323010000004	尼龙地滚	166×350×35×450(+50)×15	件	10.00	390.00	3900.00	开掘	﹢810m水平回风大巷
掘进一队	2025-09-20	材料	盈树	片网	φ4.0	平方米	432.00	17.15	7408.80	开掘	﹢810m水平回风大巷
掘进一队	2025-09-20	材料	510199170000237	直通	KJ-19	件	4.00	6.15	24.60	开掘	﹢810m水平回风大巷
掘进一队	2025-09-20	材料	212101250000053	法兰盘	50mm(-16)	个	6.00	14.96	89.76	开掘	﹢810m水平回风大巷
掘进二队	2025-09-20	材料	214101030000002	重型绳卡头	12mm	个	20.00	2.19	43.80	开掘	﹢810m水平回风大巷
掘进二队	2025-09-20	材料	110505110000030	退火钢丝（镀锌铁丝）	TA-2.2-YB/T 5294-2009	公斤	275.00	5.54	1523.50	开掘	﹢810m水平回风大巷
掘进二队	2025-09-20	材料	230303090000010	抗磨液压油	100#.	吨	0.17	19843.36	3373.37	开掘	﹢810m水平回风大巷
掘进二队	2025-09-20	材料	110501230000019	钢丝绳	6×19×6.2	公斤	127.00	10.65	1352.55	开掘	﹢810m水平回风大巷
掘进二队	2025-09-20	材料	390101090000003	内六角扳手	12mm	把	1.00	4.16	4.16	开掘	﹢810m水平回风大巷
掘进二队	2025-09-20	材料	390101090000004	内六角扳手	14mm	把	1.00	6.50	6.50	开掘	﹢810m水平回风大巷
掘进二队	2025-09-20	材料	213101190000052	平头电镀标长内六角扳手	8mm（铬钒钢）	把	1.00	3.22	3.22	开掘	﹢810m水平回风大巷
掘进二队	2025-09-20	材料	390101090000002	内六角扳手	10mm	把	1.00	4.25	4.25	开掘	﹢810m水平回风大巷
掘进二队	2025-09-20	材料	390101090000017	内六角扳手	6mm	把	1.00	3.15	3.15	开掘	﹢810m水平回风大巷
掘进二队	2025-09-20	材料	390101090000016	内六角扳手	5mm	把	1.00	1.28	1.28	开掘	﹢810m水平回风大巷
掘进二队	2025-09-20	材料	390101090000013	内六角扳手	3mm	把	1.00	1.44	1.44	开掘	﹢810m水平回风大巷
掘进二队	2025-09-20	材料	390101090000015	内六角扳手	4mm	把	1.00	2.84	2.84	开掘	﹢810m水平回风大巷
掘进二队	2025-09-20	材料	990143030016641	中方锹	-6642	把	10.00	10.64	106.40	开掘	﹢810m水平回风大巷
掘进二队	2025-09-20	材料	990145010000597	尖锹	/	把	10.00	8.11	81.10	开掘	﹢810m水平回风大巷
掘进二队	2025-09-20	材料	390115070000004	双色重型柄钢丝钳	8 / 200MM（45#钢）	把	3.00	40.00	120.00	开掘	﹢810m水平回风大巷
掘进二队	2025-09-20	材料	392301010000015	钢卷尺	5m（45#钢）	把	2.00	8.00	16.00	开掘	﹢810m水平回风大巷
掘进二队	2025-09-20	材料	980121000001064	矿灯带	.	条	12.00	5.00	60.00	开掘	﹢810m水平回风大巷
掘进二队	2025-09-20	材料	210323110000004	矿灯	KL5LM（Z）锂电	台	9.00	159.00	1431.00	开掘	﹢810m水平回风大巷
掘进二队	2025-09-20	材料	990143030017911	布袜子	-7912	双	12.00	8.00	96.00	开掘	﹢810m水平回风大巷
掘进二队	2025-09-20	材料	250701070000003	乳胶手套	乳胶	双	12.00	4.92	59.04	开掘	﹢810m水平回风大巷
掘进二队	2025-09-20	材料	250903050000005	反光药物高筒工矿靴	26#	双	4.00	55.20	220.80	开掘	﹢810m水平回风大巷
掘进二队	2025-09-20	材料	250903050000006	反光药物高筒工矿靴	26.5#	双	5.00	55.96	279.80	开掘	﹢810m水平回风大巷
机电队	2025-09-19	材料	390101070000011	活扳手	250mm	把	1.00	14.40	14.40	开掘	﹢810m水平回风大巷
机电队	2025-09-19	材料	390115090000002	精品尖嘴钳	200mm（优质合金钢）	把	1.00	8.81	8.81	开掘	﹢810m水平回风大巷
机电队	2025-09-19	材料	213115030000021	十字塑柄螺丝刀	6*150（磁力型）（45#钢）	把	2.00	4.51	9.02	开掘	﹢810m水平回风大巷
机电队	2025-09-19	材料	390115070000004	双色重型柄钢丝钳	8 / 200MM（45#钢）	把	1.00	40.00	40.00	开掘	﹢810m水平回风大巷
机电队	2025-09-19	材料	230119110000007	尼龙扎带	8×500	根	1000.00	0.10	100.00	开掘	﹢810m水平回风大巷
机电队	2025-09-19	材料	210103110000002	护套电缆	BVVB-300/500 2×4mm2	米	1000.00	7.38	7380.00	开掘	﹢810m水平回风大巷
机电队	2025-09-19	材料	211927050000020	闸阀	Z41H-2.5MPa 100mm	只	1.00	662.90	662.90	开掘	﹢810m水平回风大巷
机电队	2025-09-19	材料	231103050000279	耐油硅酮密封胶	/	支	31.00	7.28	225.68	开掘	﹢810m水平回风大巷
机电队	2025-09-19	材料	210111030000561	塑力电缆	VV22-0.6/1KV 4×35 .	米	262.00	115.77	30331.74	开掘	﹢810m水平回风大巷
机电队	2025-09-19	材料	210111010000296	橡套电缆	MYP-0.66/1.14KV 3×70+1×25 .	米	30.00	251.89	7556.70	开掘	﹢810m水平回风大巷
机电队	2025-09-19	材料	210545130000025	阻燃型冷缩中间接头	10KV *3*70-120	套	2.00	1150.00	2300.00	开掘	﹢810m水平回风大巷
机电队	2025-09-19	材料	390703050000018	电焊钳	500A	把	3.00	22.01	66.03	开掘	﹢810m水平回风大巷
机电队	2025-09-19	材料	213101150000023	活扳手	250mm（优质合金钢）	把	1.00	14.59	14.59	开掘	﹢810m水平回风大巷
掘进一队	2025-09-18	材料	520703050110110	交替阀组件	/	件	1.00	330.00	330.00	开掘	﹢810m水平回风大巷
掘进一队	2025-09-18	材料	520703050110105	空气滤清器	/	件	1.00	294.00	294.00	开掘	﹢810m水平回风大巷
掘进一队	2025-09-18	材料	210111010000296	橡套电缆	MYP-0.66/1.14KV 3×70+1×25 .	米	200.00	251.89	50378.00	开掘	﹢810m水平回风大巷
掘进一队	2025-09-18	材料	230119110000007	尼龙扎带	8×500	根	1200.00	0.10	120.00	开掘	﹢810m水平回风大巷
掘进一队	2025-09-18	材料	110501270000002	钢丝绳	6×19s×15.5	公斤	300.00	8.69	2607.00	开掘	﹢810m水平回风大巷
掘进一队	2025-09-18	材料	110507010000006	镀锌铁丝	2.8mm	公斤	20.00	5.43	108.60	开掘	﹢810m水平回风大巷
掘进一队	2025-09-18	材料	230119110000006	尼龙扎带	5×500	根	1000.00	0.07	70.00	开掘	﹢810m水平回风大巷
掘进一队	2025-09-18	材料	213109150000012	断线钳	300mm	把	2.00	23.09	46.18	开掘	﹢810m水平回风大巷
掘进一队	2025-09-18	材料	390101070000012	活扳手	300mm	把	4.00	73.92	295.68	开掘	﹢810m水平回风大巷
掘进一队	2025-09-18	材料	391309010000002	重型绳卡头	12mm	个	50.00	2.30	115.00	开掘	﹢810m水平回风大巷
掘进一队	2025-09-18	材料	392301010000015	钢卷尺	5m（45#钢）	把	4.00	8.00	32.00	开掘	﹢810m水平回风大巷
掘进一队	2025-09-18	材料	390115070000004	双色重型柄钢丝钳	8 / 200MM（45#钢）	把	4.00	40.00	160.00	开掘	﹢810m水平回风大巷
通风队	2025-09-17	材料	250101030000013	加厚防尘服	大中小号	套	18.00	144.90	2608.20	开掘	﹢810m水平回风大巷
通风队	2025-09-17	材料	230117670000002	蛇皮管	20mm	米	50.00	3.44	172.00	开掘	﹢810m水平回风大巷
通风队	2025-09-17	材料	190301090000001	隔绝式化学氧自救器	ZH30（C）	台	1.00	188.68	188.68	开掘	﹢810m水平回风大巷
通风队	2025-09-17	材料	274503010000002	便携式多参数测定器	CD5	台	5.00	3430.09	17150.45	开掘	﹢810m水平回风大巷
通风队	2025-09-17	材料	210111010000324	橡套电缆	MZ-0.3/0.5KV 3×2.5+1×2.5 .	米	300.00	12.16	3648.00	开掘	﹢810m水平回风大巷
通风队	2025-09-17	材料	210505190000040	空气开关（断路器）	DZ47-63/ 2P 40A	台	1.00	10.50	10.50	开掘	﹢810m水平回风大巷
通风队	2025-09-17	材料	190301090000003	隔绝式化学氧自救器	ZH30X（A）	台	33.00	216.81	7154.73	开掘	﹢810m水平回风大巷
通风队	2025-09-17	材料	391303010000018	手动葫芦	3.2t*5m	台	2.00	490.00	980.00	开掘	﹢810m水平回风大巷
通风队	2025-09-17	材料	212905050000006	风镐钎	28×450mm	根	1.00	16.25	16.25	开掘	﹢810m水平回风大巷
通风队	2025-09-17	材料	971147000000007	棕绳	/	公斤	30.00	28.00	840.00	开掘	﹢810m水平回风大巷
通风队	2025-09-17	材料	110507010000004	镀锌铁丝	1.6mm	公斤	5.00	6.14	30.70	开掘	﹢810m水平回风大巷
通风队	2025-09-17	材料	110507010000007	镀锌铁丝	3.5mm	公斤	10.00	5.19	51.90	开掘	﹢810m水平回风大巷
通风队	2025-09-17	材料	230503090000059	自喷漆	400mI	瓶	5.00	6.81	34.05	开掘	﹢810m水平回风大巷
机电队	2025-09-17	材料	392301010000015	钢卷尺	5m（45#钢）	把	1.00	8.00	8.00	开掘	﹢810m水平回风大巷
机电队	2025-09-17	材料	210111030000557	塑力电缆	VV22-0.6/1KV 4×25.	米	35.00	84.30	2950.50	开掘	﹢810m水平回风大巷
机电队	2025-09-17	材料	210117050000027	阻燃型冷缩终端接头（户内、户外）	10KV 3*70-120	套	1.00	292.09	292.09	开掘	﹢810m水平回风大巷
机电队	2025-09-17	材料	110707270000042	等强螺母	M20	个	100.00	2.49	249.00	开掘	﹢810m水平回风大巷
机电队	2025-09-17	材料	211515090000006	镀锌平垫	20mm	件	50.00	0.15	7.50	开掘	﹢810m水平回风大巷
机电队	2025-09-17	材料	210111010000321	橡套电缆	MYPTJ-8.7/10KV 3×70+3×35/3+3×2.5 .	米	28.00	315.17	8824.76	开掘	﹢810m水平回风大巷
机电队	2025-09-17	材料	211501010000263	六角螺栓	20×80	件	50.00	1.68	84.00	开掘	﹢810m水平回风大巷
机电队	2025-09-17	材料	110107010000012	输送流体用无缝钢管	Φ108×4	公斤	390.00	3.85	1501.50	开掘	﹢810m水平回风大巷
机电队	2025-09-17	材料	390107050000002	钢锯架	300mm（镀铬）	把	2.00	7.31	14.62	开掘	﹢810m水平回风大巷
调度室	2025-09-16	材料	980121000001064	矿灯带	.	条	20.00	5.00	100.00	开掘	﹢810m水平回风大巷
调度室	2025-09-16	材料	210701270000006	头灯	LED	个	18.00	115.00	2070.00	开掘	﹢810m水平回风大巷
调度室	2025-09-16	材料	250101030000013	加厚防尘服	大中小号	套	12.00	144.90	1738.80	开掘	﹢810m水平回风大巷
掘进一队	2025-09-13	材料	390107050000002	钢锯架	300mm（镀铬）	把	2.00	7.31	14.62	开掘	﹢810m水平回风大巷
掘进一队	2025-09-13	材料	390115070000004	双色重型柄钢丝钳	8 / 200MM（45#钢）	把	1.00	40.00	40.00	开掘	﹢810m水平回风大巷
掘进一队	2025-09-13	材料	210111010000286	橡套电缆	MYP-0.66/1.14KV 3×35+1×16 .	米	8.00	135.00	1080.00	开掘	﹢810m水平回风大巷
掘进一队	2025-09-13	材料	210111010000288	橡套电缆	MYP-0.66/1.14KV 3×4+1×4 .	米	100.00	23.06	2306.00	开掘	﹢810m水平回风大巷
掘进一队	2025-09-13	材料	213119010000004	黄油枪	400ml（优质合金钢）	把	1.00	47.35	47.35	开掘	﹢810m水平回风大巷
掘进一队	2025-09-13	材料	210553050000004	煤矿用隔爆型控制按钮	BZA（1）-5/36-3	台	2.00	144.43	288.86	开掘	﹢810m水平回风大巷
掘进一队	2025-09-13	材料	230119110000007	尼龙扎带	8×500	根	800.00	0.10	80.00	开掘	﹢810m水平回风大巷
掘进一队	2025-09-13	材料	214101030000002	重型绳卡头	12mm	个	13.00	2.19	28.47	开掘	﹢810m水平回风大巷
掘进二队	2025-09-13	材料	250101030000013	加厚防尘服	大中小号	套	126.00	144.90	18257.40	开掘	﹢810m水平回风大巷
掘进二队	2025-09-13	材料	250301010000004	安全帽（黄色）	TLD+150℃	顶	5.00	26.71	133.55	开掘	﹢810m水平回风大巷
掘进二队	2025-09-13	材料	250903050000008	反光药物高筒工矿靴	27.5#	双	21.00	53.73	1128.33	开掘	﹢810m水平回风大巷
掘进二队	2025-09-13	材料	250903050000005	反光药物高筒工矿靴	26#	双	12.00	55.20	662.40	开掘	﹢810m水平回风大巷
掘进二队	2025-09-13	材料	250903050000007	反光药物高筒工矿靴	27#	双	23.00	54.29	1248.67	开掘	﹢810m水平回风大巷
掘进二队	2025-09-13	材料	250701070000003	乳胶手套	乳胶	双	248.00	4.92	1220.16	开掘	﹢810m水平回风大巷
掘进二队	2025-09-13	材料	990143030017911	布袜子	-7912	双	124.00	8.00	992.00	开掘	﹢810m水平回风大巷
掘进二队	2025-09-13	材料	250501010000013	防尘口罩	3M 9002	个	124.00	20.90	2591.60	开掘	﹢810m水平回风大巷
掘进二队	2025-09-13	材料	250903050000006	反光药物高筒工矿靴	26.5#	双	18.00	55.96	1007.28	开掘	﹢810m水平回风大巷
掘进一队	2025-09-12	材料	250101030000013	加厚防尘服	大中小号	套	67.00	144.90	9708.30	开掘	﹢810m水平回风大巷
掘进一队	2025-09-12	材料	250701070000003	乳胶手套	乳胶	双	268.00	4.92	1318.56	开掘	﹢810m水平回风大巷
掘进一队	2025-09-12	材料	250501010000013	防尘口罩	3M 9002	个	134.00	20.90	2800.60	开掘	﹢810m水平回风大巷
掘进一队	2025-09-12	材料	990143030017911	布袜子	-7912	双	134.00	8.00	1072.00	开掘	﹢810m水平回风大巷
掘进一队	2025-09-12	材料	211511230000022	圆钉	70mm（热轧低碳钢）	公斤	20.00	5.13	102.60	开掘	﹢810m水平回风大巷
掘进一队	2025-09-12	材料	211511230000010	圆钉	80mm（热轧低碳钢)	公斤	10.00	6.81	68.10	开掘	﹢810m水平回风大巷
后勤部	2025-09-11	材料	972717050000003	大扫帚	竹把	把	2.00	14.59	29.18	开掘	﹢810m水平回风大巷
后勤部	2025-09-11	材料	250101030000013	加厚防尘服	大中小号	套	25.00	144.90	3622.50	开掘	﹢810m水平回风大巷
办公室	2025-09-10	材料	E20106010001021	激光打印机（黑白）	美能达225i	台	1.00	8970.00	8970.00	开掘	﹢810m水平回风大巷
办公室	2025-09-10	材料	E20203000000262	喷墨打印机（彩色）	爱普生15168	台	1.00	12880.00	12880.00	开掘	﹢810m水平回风大巷
办公室	2025-09-10	材料	E20101050000461	笔记本电脑	/	台	2.00	13800.00	27600.00	开掘	﹢810m水平回风大巷
办公室	2025-09-10	材料	E20104990000005	台式电脑	联想来酷27英寸显示器	台	2.00	9500.00	19000.00	开掘	﹢810m水平回风大巷
办公室	2025-09-10	材料	330107000000104	打印机	/	台	5.00	2100.00	10500.00	开掘	﹢810m水平回风大巷
办公室	2025-09-10	材料	E20101050000262	台式电脑	联想T4900K主机	台	2.00	9500.00	19000.00	开掘	﹢810m水平回风大巷
办公室	2025-09-10	材料	330105000000061	台式电脑	/	台	10.00	6000.00	60000.00	开掘	﹢810m水平回风大巷
掘进二队	2025-09-10	材料	230119110000006	尼龙扎带	5×500	根	300.00	0.07	21.00	开掘	﹢810m水平回风大巷
掘进二队	2025-09-10	材料	230119110000006	尼龙扎带	5×500	根	700.00	0.07	49.00	开掘	﹢810m水平回风大巷
智能化信息化中心	2025-09-08	材料	250101030000013	加厚防尘服	大中小号	套	3.00	144.90	434.70	开掘	﹢810m水平回风大巷
武装保卫科	2025-09-08	材料	250101030000013	加厚防尘服	大中小号	套	8.00	144.90	1159.20	开掘	﹢810m水平回风大巷
企管科	2025-09-08	材料	250101030000013	加厚防尘服	大中小号	套	17.00	144.90	2463.30	开掘	﹢810m水平回风大巷
掘进一队	2025-09-08	材料	210553050000004	煤矿用隔爆型控制按钮	BZA（1）-5/36-3	台	2.00	144.43	288.86	开掘	﹢810m水平回风大巷
掘进一队	2025-09-08	材料	210323070000045	矿用隔爆型LED巷道灯	DGS60/127L(A)	台	12.00	1320.00	15840.00	开掘	﹢810m水平回风大巷
掘进一队	2025-09-08	材料	110507010000006	镀锌铁丝	2.8mm	公斤	60.00	5.43	325.80	开掘	﹢810m水平回风大巷
掘进一队	2025-09-08	材料	110703010000005	卡缆	29υ双	套	24.00	32.70	784.80	开掘	﹢810m水平回风大巷
掘进一队	2025-09-08	材料	972717050000003	大扫帚	竹把	把	2.00	14.59	29.18	开掘	﹢810m水平回风大巷
掘进一队	2025-09-08	材料	531707070000052	喷头	PS-7I	件	2.00	63.27	126.54	开掘	﹢810m水平回风大巷
